question_code,source_year,source_type,knowledge_point,question_text,answer_text,image_path,favorites,languages
PGA-WEB-Q10,N/A,Website,Fundamental; Data Types and Conversions,"Write a C program that calculates the volume of a sphere.
Expected Output :
Input the radius of the sphere : 2.56
The volume of sphere is 70.276237.","#include <stdio.h>     // Include the standard input/output header file.

float myradius;          /* radius of the sphere */
float myvolume;          /* volume of the sphere (to be computed) */
char line_text[50];      /* a line from the keyboard */

/* the value of pi to 50 places, from wikipedia */
const float PI = 3.14159265358979323846264338327950288419716939937510;

int main() {
printf(""Input the radius of the sphere : "");  // Prompt the user to input the radius of the sphere.
fgets(line_text, sizeof(line_text), stdin);  // Read a line of input from the user and store it in 'line_text'.
sscanf(line_text, ""%f"", &myradius);         // Convert the input from 'line_text' to a float and store it in 'myradius'.

myvolume = (4.0 / 3.0) * PI * (myradius * myradius * myradius);  /* Calculate the volume of the sphere using the formula. */
printf(""The volume of sphere is %f.\n"", myvolume);  // Print the calculated volume of the sphere.

return(0);   // Return 0 to indicate successful execution of the program.
}
",,0,C
PGA-WEB-Q11,N/A,Website,Fundamental; Control and Iteration,"Write a C program to accept two integers and check whether they are equal or not.
Test Data : 15 15
Expected Output :
Number1 and Number2 are equal","#include <stdio.h>   // Include the standard input/output header file.

void main()
{
    int int1, int2;   // Declare two integer variables 'int1' and 'int2'.

    printf(""Input the values for Number1 and Number2 : "");   // Prompt the user to input values for Number1 and Number2.
    scanf(""%d %d"", &int1, &int2);   // Read and store the user's input in 'int1' and 'int2'.
    if (int1 == int2)   // Check if Number1 is equal to Number2.
        printf(""Number1 and Number2 are equal\n"");   // Print a message if Number1 and Number2 are equal.
    else
        printf(""Number1 and Number2 are not equal\n"");   // Print a message if Number1 and Number2 are not equal.
}
",,0,C
PGA-WEB-Q12,N/A,Website,Fundamental; Control and Iteration,"Write a C program to check whether a given number is even or odd.
Test Data : 15
Expected Output :
15 is an odd integer","#include <stdio.h>   // Include the standard input/output header file.

void main()
{
    int num1, rem1;   // Declare two integer variables 'num1' and 'rem1'.

    printf(""Input an integer : "");   // Prompt the user to input an integer.
    scanf(""%d"", &num1);   // Read and store the user's input in 'num1'.
    rem1 = num1 % 2;   // Calculate the remainder of 'num1' when divided by 2.
    if (rem1 == 0)   // Check if the remainder is equal to 0.
        printf(""%d is an even integer\n"", num1);   // Print a message indicating that 'num1' is an even integer.
    else
        printf(""%d is an odd integer\n"", num1);    // Print a message indicating that 'num1' is an odd integer.
}
",,0,C
PGA-WEB-Q13,N/A,Website,Fundamental; Control and Iteration,Write a C program to print numbers from 0 to 10 and 10 to 0 using two while loops.,"#include <stdio.h>

int main() {
    int i = 0;  // Initialize the loop counter

    // First while loop: Print numbers from 0 to 10
    printf(""Numbers from 0 to 10:\n"");
    while (i <= 10) {
        printf(""%d "", i);  // Print the current value of i
        i++;  // Increment the loop counter
    }

    printf(""\n"");  // Move to the next line for better formatting

    i = 10;  // Reset the loop counter to 10

    // Second while loop: Print numbers from 10 to 0
    printf(""\nNumbers from 10 to 0:\n"");
 while (i >= 0) {
        printf(""%d "", i);  // Print the current value of i
        i--;  // Decrement the loop counter
    }

    return 0;  // Indicate successful program execution
}
",,0,C
PGA-WEB-Q14,N/A,Website,Fundamental; Control and Iteration,Write a C program that prompts the user to input a series of integers until the user stops entering 0 using a while loop. Calculate and print the sum of all the positive integers entered.,"#include <stdio.h>

 int main() {
    int number;  // Variable to store the user input
    int sum = 0;  // Variable to store the sum of positive integers

    printf(""Input integers (enter 0 to stop):\n"");

    // Start a while loop to continue until the user enters 0
    while (1) {
        printf(""Input a number: "");
        scanf(""%d"", &number);  // Read the user input

        if (number == 0) {
            break;  // Exit the loop if the user enters 0
        }

        if (number > 0) {
            sum += number;  // Add positive numbers to the sum
        }
    }

    // Print the sum of positive integers
    printf(""Sum of positive integers: %d\n"", sum);

    return 0;  // Indicate successful program execution
}

",,0,C
PGA-WEB-Q15,N/A,Website,Iteration; Control and Iteration,Write a C program to print numbers from 1 to 10 and 10 to 1 using a do-while loop.,"#include <stdio.h>

int main() {
    int i = 1;  // Initialize the loop control variable to 1

    // Print numbers from 1 to 10
    printf(""Print numbers from 1 to 10:\n"");
    do {
        printf(""%d "", i);  // Print the current value of i
        i++;  // Increment i for the next iteration
    } while (i <= 10);  // Continue the loop as long as i is less than or equal to 10

    printf(""\n"");  // Move to the next line for better formatting

    i = 10;  // Reset i to 10 for the second part of the program

    // Print numbers from 10 to 1
    printf(""\nPrint numbers from 10 to 1:\n"");
    do {
        printf(""%d "", i);  // Print the current value of i
        i--;  // Decrement i for the next iteration
    } while (i >= 1);  // Continue the loop as long as i is greater than or equal to 1

    return 0;  // Indicate successful program execution
}
",,0,C
PGA-WEB-Q16,N/A,Website,Iteration; Control and Iteration,Write a C program that prompts the user to input a series of integers until the user stops by entering 0 using a do-while loop. Calculate and print the sum of all positive integers entered.,"#include <stdio.h>

int main() {
    int num, sum = 0;  // Declare variables to store the entered number and the sum

    // Prompt the user to input integers until they enter 0
    do {
        printf(""Input an integer (enter 0 to stop): "");
        scanf(""%d"", &num);  // Read the entered number

        if (num > 0) {
            sum += num;  // Add the positive number to the sum
        } else if (num < 0) {
            printf(""Negative integers are not considered. Ignored.\n"");
        }

    } while (num != 0);  // Continue the loop until the user enters 0

    // Print the sum of positive integers
    printf(""Sum of positive integers: %d\n"", sum);

    return 0;  // Indicate successful program execution
}

",,0,C
PGA-WEB-Q17,N/A,Website,Iteration; Control and Iteration,"Write a program in C to display the first 10 natural numbers.
Expected Output :
1 2 3 4 5 6 7 8 9 10","#include <stdio.h>  // Include the standard input/output header file.

void main() {     
    int i;  // Declare a variable 'i' for the loop counter.
 
    printf(""The first 10 natural numbers are:\n"");  // Print a message to indicate the output.
 
    for (i=1; i<=10; i++)  // Start a for loop to iterate from 1 to 10.
 {      
  printf(""%d "", i);  // Print the current value of 'i'.
 }
 
    printf(""\n"");  // Print a new line for better formatting.
}
",,0,C
PGA-WEB-Q18,N/A,Website,Iteration; Control and Iteration,"Write a C program to compute the sum of the first 10 natural numbers.
Expected Output :
The first 10 natural number is :
1 2 3 4 5 6 7 8 9 10
The Sum is : 55","#include <stdio.h>  // Include the standard input/output header file.

int main() {  
    int j, sum = 0;  // Declare variables 'j' for the loop counter and 'sum' to store the sum.

    printf(""The first 10 natural numbers are :\n"");  // Print a message to indicate the output.

    for (j = 1; j <= 10; j++)  // Start a for loop to iterate from 1 to 10.
    {
        sum = sum + j;  // Add the current value of 'j' to the sum.
        printf(""%d "", j);  // Print the current value of 'j'.
    }

    printf(""\nThe Sum is : %d\n"", sum);  // Print the sum of the first 10 natural numbers.
    return 0;  // Indicate successful execution of the program.
}
",,0,C
PGA-WEB-Q19,N/A,Website,Arrays; Pointers and Arrays,"Write a program in C to store elements in an array and print them.
Test Data :
Input 10 elements in the array :
element - 0 : 1
element - 1 : 1
element - 2 : 2
.......
Expected Output :
Elements in array are: 1 1 2 3 4 5 6 7 8 9","#include <stdio.h>
// Main function
int main()  
{  
    int arr[10];  // Declare an array of size 10 to store integer values
    int i;  
    // Print a message to prompt the user for input
    printf(""\n\nRead and Print elements of an array:\n"");
    printf(""-----------------------------------------\n""); 
    // Prompt the user to input 10 elements into the array
    printf(""Input 10 elements in the array :\n"");  
    for(i=0; i<10; i++)  
    {  
     printf(""element - %d : "",i);  // Prompt the user to input the i-th element
        scanf(""%d"", &arr[i]);  // Read the input and store it in the array
    }  
    // Display the elements in the array
    printf(""\nElements in array are: "");  
    for(i=0; i<10; i++)  
    {  
        printf(""%d  "", arr[i]);  // Print each element in the array
    } 
    printf(""\n"");
 return 0; 
}
",,0,C
PGA-WEB-Q20,N/A,Website,Arrays; Pointers and Arrays,"Write a program in C to read n number of values in an array and display them in reverse order.
Test Data :
Input the number of elements to store in the array :3
Input 3 number of elements in the array :
element - 0 : 2
element - 1 : 5
element - 2 : 7
Expected Output :
The values store into the array are :
2 5 7
The values store into the array in reverse are :
7 5 2","#include <stdio.h>
// Main function
int main()
{
   int i, n, a[100];
   // Display a message to the user about the program's purpose
   printf(""\n\nRead n number of values in an array and display it in reverse order:\n"");
   printf(""------------------------------------------------------------------------\n"");
   // Prompt the user to input the number of elements to store in the array
   printf(""Input the number of elements to store in the array :"");
   scanf(""%d"", &n);
   // Prompt the user to input n elements into the array
   printf(""Input %d number of elements in the array :\n"", n);
   for (i = 0; i < n; i++)
   {
      printf(""element - %d : "", i);
      scanf(""%d"", &a[i]);  // Read the input and store it in the array
   }
   // Display the values stored in the array
   printf(""\nThe values stored in the array are : \n"");
   for (i = 0; i < n; i++)
   {
       printf(""% 5d"", a[i]);  // Print each element in the array
   }
   // Display the values stored in the array in reverse order
   printf(""\n\nThe values stored in the array in reverse are :\n"");
   for (i = n - 1; i >= 0; i--)
   {
       printf(""% 5d"", a[i]);  // Print each element in reverse order
   }
   printf(""\n\n"");
   return 0;
}
",,0,C
PGA-WEB-Q21,N/A,Website,Structures,"Create a structure called ""Student"" with members name, age, and total marks. Write a C program to input data for two students, display their information, and find the average of total marks.","#include <stdio.h> 

// Define the structure ""Student""
struct Student {
    char name[50];
    int age;
    float totalMarks;
};

int main() {
    // Declare variables to store information for two students
    struct Student student1, student2;

    // Input data for the first student
    printf(""Input details for Student 1:\n"");
    printf(""Name: "");
    scanf(""%s"", student1.name);  // Assuming names do not contain spaces
    printf(""Age: "");
    scanf(""%d"", &student1.age);
    printf(""Total Marks: "");
    scanf(""%f"", &student1.totalMarks);

    // Input data for the second student
    printf(""\nInput details for Student 2:\n"");
    printf(""Name: "");
    scanf(""%s"", student2.name);  // Assuming names do not contain spaces
    printf(""Age: "");
    scanf(""%d"", &student2.age);
    printf(""Total Marks: "");
    scanf(""%f"", &student2.totalMarks);

    // Display information for both students
    printf(""\nStudent 1 Information:\n"");
    printf(""Name: %s\n"", student1.name);
    printf(""Age: %d\n"", student1.age);
    printf(""Total Marks: %.2f\n"", student1.totalMarks);

    printf(""\nStudent 2 Information:\n"");
    printf(""Name: %s\n"", student2.name);
    printf(""Age: %d\n"", student2.age);
    printf(""Total Marks: %.2f\n"", student2.totalMarks);

    // Calculate and display the average total marks
    float averageMarks = (student1.totalMarks + student2.totalMarks) / 2;
    printf(""\nAverage Total Marks: %.2f\n"", averageMarks);

    return 0;
}
",,0,C
PGA-WEB-Q22,N/A,Website,Structures,"Define a structure named Time with members hours, minutes, and seconds. Write a C program to input two times, add them, and display the result in proper time format.","#include <stdio.h>

// Define the structure ""Time""
struct Time {
    int hours;
    int minutes;
    int seconds;
};

int main() {
    // Declare variables to store two times and the result
    struct Time time1, time2, result;

    // Input time1
    printf(""Input the first time (hours minutes seconds): "");
    scanf(""%d %d %d"", &time1.hours, &time1.minutes, &time1.seconds);

    // Input time2
    printf(""Input the second time (hours minutes seconds): "");
    scanf(""%d %d %d"", &time2.hours, &time2.minutes, &time2.seconds);

    // Add the two times
    result.seconds = time1.seconds + time2.seconds;
    result.minutes = time1.minutes + time2.minutes + result.seconds / 60;
    result.hours = time1.hours + time2.hours + result.minutes / 60;

    // Adjust minutes and seconds
    result.minutes %= 60;
    result.seconds %= 60;

    // Display the result
    printf(""\nResultant Time: %02d:%02d:%02d\n"", result.hours, result.minutes, result.seconds);

    return 0;
}
",,0,C
PGA-WEB-Q23,N/A,Website,Pointer 1; Pointers and Arrays,"Write a program in C to show the basic declaration of a pointer.

Expected Output :

 Pointer : Show the basic declaration of pointer :                                                            
-------------------------------------------------------                                                       
 Here is m=10, n and o are two integer variable and *z is an integer                                          
                                                                                                              
 z stores the address of m  = 0x7ffd40630d44                                                                  
                                                                                                              
 *z stores the value of m = 10                                                                                
                                                                                                              
 &m is the address of m = 0x7ffd40630d44                                                                      
                                                                                                              
 &n stores the address of n = 0x7ffd40630d48                                                                  
                                                                                                              
 &o  stores the address of o = 0x7ffd40630d4c                                                                 
                                                                                                              
 &z stores the address of z = 0x7ffd40630d50","#include <stdio.h>

int main(void)
{
    int m = 10, n, o;
    int *z = &m; // Declaring an integer pointer z and assigning the address of m to it

    // Printing basic information about pointers and variables
    printf(""\n\n Pointer : Show the basic declaration of pointer :\n"");
    printf(""-------------------------------------------------------\n"");
    printf("" Here is m=10, n and o are two integer variable and *z is an integer"");
    printf(""\n\n z stores the address of m  = %p\n"", z); // Printing the address stored in z using %p
    printf(""\n *z stores the value of m = %i\n"", *z); // Printing the value pointed to by z using *z
    printf(""\n &m is the address of m = %p\n"", &m); // Printing the address of m using &m
    printf(""\n &n stores the address of n = %p\n"", &n); // Printing the address of n using &n
    printf(""\n &o  stores the address of o = %p\n"", &o); // Printing the address of o using &o
    printf(""\n &z stores the address of z = %p\n\n"", &z); // Printing the address of z using &z
}
",,0,C
PGA-WEB-Q24,N/A,Website,Pointer 1; Pointers and Arrays,"Write a program in C to demonstrate how to handle pointers in a program.

Expected Output :

Address of m : 0x7ffcc3ad291c
 Value of m : 29                                                                                              
                                                                                                              
 Now ab is assigned with the address of m.                                                                    
 Address of pointer ab : 0x7ffcc3ad291c                                                                       
 Content of pointer ab : 29                                                                                   
                                                                                                              
 The value of m assigned to 34 now.                                                                           
 Address of pointer ab : 0x7ffcc3ad291c                                                                       
 Content of pointer ab : 34                                                                                   
                                                                                                              
 The pointer variable ab is assigned with the value 7 now.                                                    
 Address of m : 0x7ffcc3ad291c                                                                                
 Value of m : 7","#include <stdio.h>

int main()
{
    int* ab; // Declare a pointer variable ab
    int m;   // Declare an integer variable m

    m = 29; // Assign the value 29 to the variable m

    printf(""\n\n Pointer : How to handle the pointers in the program :\n"");
    printf(""------------------------------------------------------------\n"");
    printf("" Here in the declaration ab = int pointer, int m = 29\n\n"");

    printf("" Address of m : %p\n"", &m); // Print the address of variable m
    printf("" Value of m : %d\n\n"", m); // Print the value of variable m

    ab = &m; // Assign the address of m to the pointer variable ab

    printf("" Now ab is assigned with the address of m.\n"");
    printf("" Address of pointer ab : %p\n"", ab);      // Print the address stored in pointer ab
    printf("" Content of pointer ab : %d\n\n"", *ab);   // Print the value pointed to by ab

    m = 34; // Assign the value 34 to the variable m

    printf("" The value of m assigned to 34 now.\n"");
    printf("" Address of pointer ab : %p\n"", ab);      // Print the address stored in pointer ab
    printf("" Content of pointer ab : %d\n\n"", *ab);   // Print the value pointed to by ab

    *ab = 7; // Assign the value 7 to the variable pointed by ab

    printf("" The pointer variable ab is assigned the value 7 now.\n"");
    printf("" Address of m : %p\n"", &m);               // Print the address of variable m
                                                      // as ab contains the address of m
                                                      // *ab changed the value of m and now m becomes 7
    printf("" Value of m : %d\n\n"", m);                // Print the value of variable m

    return 0;
}
",,0,C
PGA-WEB-Q25,N/A,Website,Singly Linked List; Linked Lists,"Write a program in C to create and display a Singly Linked List.

Test Data :

Input the number of nodes : 3
Input data for node 1 : 5
Input data for node 2 : 6
Input data for node 3 : 7

Expected Output :

 Data entered in the list :                                                                                   
 Data = 5                                                                                                     
 Data = 6                                                                                                     
 Data = 7","#include <stdio.h>
#include <stdlib.h>

// Structure for a node in a linked list
struct node {
    int num;                // Data of the node
    struct node *nextptr;   // Address of the next node
} *stnode;                  // Pointer to the starting node

// Function prototypes
void createNodeList(int n); // Function to create the linked list
void displayList();         // Function to display the linked list

// Main function
int main() {
    int n;

    // Displaying the purpose of the program
    printf(""\n\n Linked List : To create and display Singly Linked List :\n"");
    printf(""-------------------------------------------------------------\n"");

    // Inputting the number of nodes for the linked list
    printf("" Input the number of nodes : "");
    scanf(""%d"", &n);

    // Creating the linked list with n nodes
    createNodeList(n);

    // Displaying the data entered in the linked list
    printf(""\n Data entered in the list : \n"");
    displayList();

    return 0;
}

// Function to create a linked list with n nodes
void createNodeList(int n) {
    struct node *fnNode, *tmp;
    int num, i;

    // Allocating memory for the starting node
    stnode = (struct node *)malloc(sizeof(struct node));

    // Checking if memory allocation is successful
    if(stnode == NULL) {
        printf("" Memory can not be allocated."");
    } else {
        // Reading data for the starting node from user input
        printf("" Input data for node 1 : "");
        scanf(""%d"", &num);
        stnode->num = num;      
        stnode->nextptr = NULL; // Setting the next pointer to NULL
        tmp = stnode;

        // Creating n nodes and adding them to the linked list
        for(i = 2; i <= n; i++) {
            fnNode = (struct node *)malloc(sizeof(struct node));

            // Checking if memory allocation is successful
            if(fnNode == NULL) {
                printf("" Memory can not be allocated."");
                break;
            } else {
                // Reading data for each node from user input
                printf("" Input data for node %d : "", i);
                scanf("" %d"", &num);

                fnNode->num = num;      // Setting the data for fnNode
                fnNode->nextptr = NULL; // Setting the next pointer to NULL

                tmp->nextptr = fnNode;  // Linking the current node to fnNode
                tmp = tmp->nextptr;     // Moving tmp to the next node
            }
        }
    }
}

// Function to display the linked list
void displayList() {
    struct node *tmp;

    if(stnode == NULL) {
        printf("" List is empty."");
    } else {
        tmp = stnode;

        // Traversing the linked list and printing each node's data
        while(tmp != NULL) {
            printf("" Data = %d\n"", tmp->num); // Printing the data of the current node
            tmp = tmp->nextptr;               // Moving to the next node in the list
        }
    }
}
",,0,C
